k,metric_size,sample_size,status,tie_status,source
1,1,1,no witness found,unknown,certificate
1,1,2,no witness found,unknown,certificate
1,1,3,no witness found,unknown,certificate
1,1,4,no witness found,unknown,certificate
1,1,5,no witness found,unknown,certificate
1,1,6,no witness found,unknown,certificate
1,1,7,no witness found,unknown,certificate
1,1,8,no witness found,unknown,certificate
1,1,9,no witness found,unknown,certificate
1,1,10,no witness found,unknown,certificate
1,2,1,no witness found,unknown,certificate
1,2,2,witness found,tie-free,certificate
1,2,3,witness found,tie-free,certificate
1,2,4,witness found,tie-free,certificate
1,2,5,witness found,tie-free,certificate
1,2,6,witness found,tie-free,certificate
1,2,7,witness found,tie-free,certificate
1,2,8,witness found,tie-free,certificate
1,2,9,witness found,tie-free,certificate
1,2,10,witness found,tie-free,certificate
1,3,1,no witness found,unknown,certificate
1,3,2,witness found,tie-free,certificate
1,3,3,witness found,tie-free,certificate
1,3,4,witness found,tie-free,certificate
1,3,5,witness found,tie-free,certificate
1,3,6,witness found,tie-free,certificate
1,3,7,witness found,tie-free,certificate
1,3,8,witness found,tie-free,certificate
1,3,9,witness found,tie-free,certificate
1,3,10,witness found,tie-free,certificate
1,4,1,no witness found,unknown,certificate
1,4,2,witness found,tie-free,certificate
1,4,3,witness found,tie-free,certificate
1,4,4,witness found,tie-free,certificate
1,4,5,witness found,tie-free,certificate
1,4,6,witness found,tie-free,certificate
1,4,7,witness found,tie-free,certificate
1,4,8,witness found,tie-free,certificate
1,4,9,witness found,tie-free,certificate
1,4,10,witness found,tie-free,certificate
1,5,1,no witness found,unknown,certificate
1,5,2,witness found,tie-free,certificate
1,5,3,witness found,tie-free,certificate
1,5,4,witness found,tie-free,certificate
1,5,5,witness found,tie-free,certificate
1,5,6,witness found,tie-free,certificate
1,5,7,witness found,tie-free,certificate
1,5,8,witness found,tie-free,certificate
1,5,9,witness found,tie-free,certificate
1,5,10,witness found,tie-free,certificate
1,6,1,no witness found,unknown,certificate
1,6,2,witness found,tie-free,certificate
1,6,3,witness found,tie-free,certificate
1,6,4,witness found,tie-free,certificate
1,6,5,witness found,tie-free,certificate
1,6,6,witness found,tie-free,certificate
1,6,7,witness found,tie-free,certificate
1,6,8,witness found,tie-free,certificate
1,6,9,witness found,tie-free,certificate
1,6,10,witness found,tie-free,certificate
2,1,1,infeasible,unknown,theorem_and_gadget_search
2,1,2,not searched,unknown,theorem_and_gadget_search
2,1,3,not searched,unknown,theorem_and_gadget_search
2,1,4,not searched,unknown,theorem_and_gadget_search
2,1,5,not searched,unknown,theorem_and_gadget_search
2,1,6,not searched,unknown,theorem_and_gadget_search
2,1,7,not searched,unknown,theorem_and_gadget_search
2,1,8,not searched,unknown,theorem_and_gadget_search
2,1,9,not searched,unknown,theorem_and_gadget_search
2,1,10,not searched,unknown,theorem_and_gadget_search
2,2,1,infeasible,unknown,theorem_and_gadget_search
2,2,2,tie-dependent witness,tie-dependent,theorem_and_gadget_search
2,2,3,tie-dependent witness,tie-dependent,theorem_and_gadget_search
2,2,4,tie-dependent witness,tie-dependent,theorem_and_gadget_search
2,2,5,tie-dependent witness,tie-dependent,theorem_and_gadget_search
