source,dataset,k,margin
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,1
real,iris,1,1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,1
real,iris,1,1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,1,-1
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,1
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,3
real,iris,3,3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,3
real,iris,3,3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,3,-3
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,1
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,5
real,iris,5,5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,5
real,iris,5,5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,5,-5
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,1
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,7
real,iris,7,7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,7
real,iris,7,7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,7,-7
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,3
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,9
real,iris,9,9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,9
real,iris,9,9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,9,-9
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,3
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,11
real,iris,11,11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,11
real,iris,11,11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,11,-11
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,-13
real,iris,15,-15
real,iris,15,15
real,iris,15,7
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,15
real,iris,15,-15
real,iris,15,15
real,iris,15,-13
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,15
real,iris,15,15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,15
real,iris,15,15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,iris,15,-15
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
