source,dataset,seed,n,dimension,classes,metric,k,loo_error,loo_indicator_rate,replace_vulnerability,near_zero_margin_mass,mean_abs_margin,diagnostic_f1,duplicate_count
sklearn_builtin,iris,0,80,4,2,euclidean,1,0.0,0.0,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,0,80,4,2,euclidean,3,0.0125,0.0125,0.0125,0.0125,2.975,1.0,0
sklearn_builtin,iris,0,80,4,2,euclidean,5,0.0,0.0,0.0125,0.0125,4.95,1.0,0
sklearn_builtin,iris,0,80,4,2,euclidean,7,0.0,0.0,0.0125,0.0125,6.925,1.0,0
sklearn_builtin,iris,0,80,4,2,euclidean,9,0.0,0.0,0.0,0.0,8.925,1.0,0
sklearn_builtin,iris,0,80,4,2,euclidean,11,0.0,0.0,0.0,0.0,10.9,1.0,0
sklearn_builtin,iris,0,80,4,2,euclidean,15,0.0,0.0,0.0,0.0,14.85,1.0,0
sklearn_builtin,iris,0,80,4,2,manhattan,1,0.0,0.0,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,0,80,4,2,manhattan,3,0.0,0.0,0.0,0.0,3.0,1.0,0
sklearn_builtin,iris,0,80,4,2,manhattan,5,0.0,0.0,0.0,0.0,5.0,1.0,0
sklearn_builtin,iris,0,80,4,2,manhattan,7,0.0,0.0,0.0,0.0,7.0,1.0,0
sklearn_builtin,iris,0,80,4,2,manhattan,9,0.0,0.0,0.0,0.0,9.0,1.0,0
sklearn_builtin,iris,0,80,4,2,manhattan,11,0.0,0.0,0.0,0.0,10.975,1.0,0
sklearn_builtin,iris,0,80,4,2,manhattan,15,0.0,0.0,0.0,0.0,14.875,1.0,0
sklearn_builtin,iris,0,80,4,2,cosine,1,0.0125,0.0125,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,0,80,4,2,cosine,3,0.0125,0.0,0.0125,0.0125,2.975,1.0,0
sklearn_builtin,iris,0,80,4,2,cosine,5,0.0125,0.0,0.0125,0.0125,4.925,1.0,0
sklearn_builtin,iris,0,80,4,2,cosine,7,0.0,0.0,0.0125,0.0125,6.875,1.0,0
sklearn_builtin,iris,0,80,4,2,cosine,9,0.0,0.0,0.0,0.0,8.875,1.0,0
sklearn_builtin,iris,0,80,4,2,cosine,11,0.0,0.0,0.0125,0.0125,10.8,1.0,0
sklearn_builtin,iris,0,80,4,2,cosine,15,0.0,0.0,0.0,0.0,14.775,1.0,0
sklearn_builtin,iris,1,80,4,2,euclidean,1,0.0125,0.0125,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,1,80,4,2,euclidean,3,0.0,0.0,0.0125,0.0125,2.975,1.0,0
sklearn_builtin,iris,1,80,4,2,euclidean,5,0.0,0.0,0.0,0.0,4.975,1.0,0
sklearn_builtin,iris,1,80,4,2,euclidean,7,0.0,0.0,0.0,0.0,6.975,1.0,0
sklearn_builtin,iris,1,80,4,2,euclidean,9,0.0,0.0,0.0,0.0,8.975,1.0,0
sklearn_builtin,iris,1,80,4,2,euclidean,11,0.0,0.0,0.0,0.0,10.925,1.0,0
sklearn_builtin,iris,1,80,4,2,euclidean,15,0.0,0.0,0.0,0.0,14.85,1.0,0
sklearn_builtin,iris,1,80,4,2,manhattan,1,0.0,0.0,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,1,80,4,2,manhattan,3,0.0,0.0,0.0,0.0,3.0,1.0,0
sklearn_builtin,iris,1,80,4,2,manhattan,5,0.0,0.0,0.0,0.0,5.0,1.0,0
sklearn_builtin,iris,1,80,4,2,manhattan,7,0.0,0.0,0.0,0.0,7.0,1.0,0
sklearn_builtin,iris,1,80,4,2,manhattan,9,0.0,0.0,0.0,0.0,8.975,1.0,0
sklearn_builtin,iris,1,80,4,2,manhattan,11,0.0,0.0,0.0,0.0,10.95,1.0,0
sklearn_builtin,iris,1,80,4,2,manhattan,15,0.0,0.0,0.0,0.0,14.95,1.0,0
sklearn_builtin,iris,1,80,4,2,cosine,1,0.0125,0.0125,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,1,80,4,2,cosine,3,0.0,0.0,0.0125,0.0125,2.975,1.0,0
sklearn_builtin,iris,1,80,4,2,cosine,5,0.0,0.0,0.0,0.0,4.95,1.0,0
sklearn_builtin,iris,1,80,4,2,cosine,7,0.0,0.0,0.0,0.0,6.95,1.0,0
sklearn_builtin,iris,1,80,4,2,cosine,9,0.0,0.0,0.0,0.0,8.95,1.0,0
sklearn_builtin,iris,1,80,4,2,cosine,11,0.0,0.0,0.0,0.0,10.925,1.0,0
sklearn_builtin,iris,1,80,4,2,cosine,15,0.0,0.0,0.0,0.0,14.7,1.0,0
sklearn_builtin,iris,2,80,4,2,euclidean,1,0.0125,0.0125,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,2,80,4,2,euclidean,3,0.0125,0.0,0.0125,0.0125,2.975,1.0,0
sklearn_builtin,iris,2,80,4,2,euclidean,5,0.0,0.0,0.0125,0.0125,4.95,1.0,0
sklearn_builtin,iris,2,80,4,2,euclidean,7,0.0,0.0,0.0125,0.0125,6.925,1.0,0
sklearn_builtin,iris,2,80,4,2,euclidean,9,0.0125,0.0125,0.0125,0.0125,8.9,1.0,0
sklearn_builtin,iris,2,80,4,2,euclidean,11,0.0125,0.0,0.0125,0.0125,10.85,1.0,0
sklearn_builtin,iris,2,80,4,2,euclidean,15,0.0125,0.0,0.0,0.0,14.8,1.0,0
sklearn_builtin,iris,2,80,4,2,manhattan,1,0.0,0.0,1.0,1.0,1.0,1.0,0
sklearn_builtin,iris,2,80,4,2,manhattan,3,0.0,0.0,0.0,0.0,3.0,1.0,0
sklearn_builtin,iris,2,80,4,2,manhattan,5,0.0,0.0,0.0,0.0,5.0,1.0,0
