k,n_vertices,duplicate_ratio,conflict_ratio,noise_ratio,n_trials,separation_frequency,separation_ci,mean_vulnerable_query_rate,vuln_rate_ci,mean_max_loo,mean_max_replace_one
1,2,0.0,0.0,0.0,40,0.175,0.11775302543883956,1.0,0.0,0.825,1.0
3,2,0.0,0.0,0.0,40,0.5,0.1549516053482506,0.825,0.08162582311989264,0.475,0.975
1,2,0.0,0.0,0.1,40,0.175,0.11775302543883956,1.0,0.0,0.825,1.0
3,2,0.0,0.0,0.1,40,0.4,0.15182094717133074,0.775,0.09134262422330551,0.55,0.95
1,2,0.0,0.3,0.0,40,0.175,0.11775302543883956,1.0,0.0,0.825,1.0
3,2,0.0,0.3,0.0,40,0.2,0.12396128427860048,0.925,0.05532878997411745,0.8,1.0
1,2,0.0,0.3,0.1,40,0.175,0.11775302543883956,1.0,0.0,0.825,1.0
3,2,0.0,0.3,0.1,40,0.425,0.15319848236846212,0.8125,0.09606687124081849,0.5,0.925
1,2,0.3,0.0,0.0,40,0.3,0.1420154921126565,1.0,0.0,0.7,1.0
3,2,0.3,0.0,0.0,40,0.475,0.1547577946340668,0.6375,0.11996246808898188,0.325,0.8
1,2,0.3,0.0,0.1,40,0.275,0.1383762082151408,1.0,0.0,0.725,1.0
3,2,0.3,0.0,0.1,40,0.4,0.15182094717133074,0.8,0.10278326712067486,0.5,0.9
1,2,0.3,0.3,0.0,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,2,0.3,0.3,0.0,40,0.35,0.14781441066418388,0.7875,0.10894927145235986,0.525,0.875
1,2,0.3,0.3,0.1,40,0.2,0.12396128427860048,1.0,0.0,0.8,1.0
3,2,0.3,0.3,0.1,40,0.55,0.15417490068101228,0.825,0.0886751092471839,0.4,0.95
1,2,0.6,0.0,0.0,40,0.325,0.14515086978726652,1.0,0.0,0.675,1.0
3,2,0.6,0.0,0.0,40,0.45,0.15417490068101228,0.675,0.1227447554887784,0.35,0.8
1,2,0.6,0.0,0.1,40,0.3,0.1420154921126565,1.0,0.0,0.7,1.0
3,2,0.6,0.0,0.1,40,0.4,0.15182094717133074,0.725,0.11977468430348709,0.425,0.825
1,2,0.6,0.3,0.0,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,2,0.6,0.3,0.0,40,0.475,0.1547577946340668,0.8875,0.08116491699003947,0.475,0.95
1,2,0.6,0.3,0.1,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,2,0.6,0.3,0.1,40,0.425,0.15319848236846212,0.875,0.09645659645664467,0.475,0.9
